dataset_id,name,url,object,license,access,size_note,format_note,lessons,base_usage,risk_level,risk_note
mendeley_rotating_machine_fault,"Vibration, Acoustic, Temperature, and Motor Current Dataset of Rotating Machine",https://data.mendeley.com/datasets/ztmf3m7h5x/6,вращающаяся машина при дефектах и разных нагрузках,CC BY 4.0,Mendeley Data,"версия 6, размер зависит от выбранных архивов","MAT, TDMS","1,3",мультимодальная диагностика после извлечения признаков,высокий,требуются чтение MAT/TDMS и предварительная агрегация сигналов
cwru_bearing,Case Western Reserve University Bearing Data Center,https://engineering.case.edu/bearingdatacenter/welcome,"подшипники двигателя Reliance Electric мощностью 2 л. с. (около 1,49 кВт)",явная лицензия на официальной странице не указана,публичные MATLAB-файлы,данные 12/48 кГц; размер зависит от выбранных файлов,MAT,"1,3",классический эталонный набор для диагностики подшипников,средний,искусственные дефекты электроэрозионной обработки; неясные условия переиспользования
university_ottawa_uoemd,University of Ottawa Electric Motor Dataset UOEMD-VAFCVS,https://data.mendeley.com/datasets/msxs4vj48g/1,"электродвигатели с вибрацией, акустикой и температурой",CC BY 4.0,Mendeley Data,"128 наборов, 10 секунд, 42 кГц",сигнальные файлы,"1,3",классификация типов неисправностей после извлечения признаков,высокий,искусственные дефекты; требуется обработка сигналов
pmsm_stator_faults,Vibration and Current Dataset of Three-Phase PMSMs with Stator Faults,https://data.mendeley.com/datasets/rgn5brrgrn/5,PMSM с межвитковыми и межкатушечными КЗ,CC BY 4.0,Mendeley Data,высокочастотные TDMS-файлы,TDMS,"1,3",продвинутый источник для диагностики дефектов статора,высокий,требуется библиотека для TDMS и расчет сигналовых признаков
mcc5_thu_motor,MCC5-THU Multi-mode Fault Diagnosis,https://data.mendeley.com/datasets/6s3dggj9mw/1,трехфазный асинхронный двигатель с многими типами отказов,CC BY 4.0,Mendeley Data,"282 запуска по 90 с, около 13 ГБ по зеркалу",сигнальные файлы,3,исследовательский проект по многоклассовой диагностике,высокий,слишком большой объем для базовой аудитории
kaist_industrial_ac_motors,Industrial-Scale AC Motors under Randomized Speed/Load Variations,https://www.sciencedirect.com/science/article/pii/S235234092500678X,промышленные AC-двигатели при разных скоростях и нагрузках,CC BY 4.0,"Mendeley Data, несколько архивов",более 60 ГБ,высокочастотные сигналы,3,только как источник для продвинутого проекта,высокий,чрезмерный объем; сложная структура архивов
uci_servo,Servo,https://archive.ics.uci.edu/dataset/87/servo,сервомеханизм,CC BY 4.0,UCI,167 строк,CSV,"2,3",очень малый резервный пример для регрессии,низкий,"устаревший и малый набор, ограниченная инженерная глубина"
uci_electrical_grid_stability,Electrical Grid Stability Simulated Data,https://archive.ics.uci.edu/dataset/471/electrical+grid+stability+simulated+data,симулированная устойчивость энергосистемы,CC BY 4.0,UCI,"10 000 строк, около 2.3 МБ",CSV,"1,3",резервный пример классификации устойчивости,средний,"симуляция энергосистемы, а не двигатель"
uci_combined_cycle_power_plant,Combined Cycle Power Plant,https://archive.ics.uci.edu/ml/datasets/combined%2Bcycle%2Bpower%2Bplant,парогазовая электростанция,CC BY 4.0,UCI,"9 568 строк, около 3.5 МБ",XLSX / ODS / UCI API,2,резервная энергетическая регрессия,низкий,объект не является электромеханическим преобразователем
uci_gas_turbine_emissions,Gas Turbine CO and NOx Emission Data Set,https://archive.ics.uci.edu/dataset/551/gas%2Bturbine%2Bco%2Band%2Bnox%2Bemission%2Bdata%2Bset,газовая турбина,CC BY 4.0,UCI,"36 733 строк, около 1 МБ",CSV,"2,3",энергетическая регрессия и производная классификация по выбросам,средний,необходимо сохранять временное разделение по годам
uci_energy_efficiency,Energy Efficiency,https://archive.ics.uci.edu/dataset/242/energy%2Befficiency,энергетическая модель здания,CC BY 4.0,UCI,768 строк,XLSX / UCI API,2,малый резервный пример регрессии,низкий,далек от электромеханики; симуляционный набор
uci_appliances_energy,Appliances Energy Prediction,https://archive.ics.uci.edu/ml/datasets/Appliances%2Benergy%2Bprediction,энергопотребление бытовых приборов,CC BY 4.0,UCI,"19 735 строк, около 11.4 МБ",CSV,2,резервная временная энергетическая регрессия,средний,временная зависимость; объект бытовой энергетики
uci_micro_gas_turbine,Micro Gas Turbine Electrical Energy Prediction,https://archive.ics.uci.edu/dataset/994,микрогазовая турбина 3 кВт,CC BY 4.0,UCI,"71 225 строк, около 887.5 КБ",CSV / UCI API,2,компактная динамическая регрессия управляющего воздействия и мощности,средний,требуются лаговые признаки для корректной динамической модели
diagnostics_interturn_short_circuits_pmsm,Diagnostics of Interturn Short Circuits in PMSMs,https://zenodo.org/records/15631383,PMSM с межвитковыми короткими замыканиями,CC BY 4.0,прямая загрузка Zenodo,около 91.5 МБ по данным карточки источника,экспериментальные файлы,3,продвинутый источник диагностики коротких замыканий,высокий,требуется предварительное чтение MAT-файлов и оконная агрегация сигналов
pmsm_geometry_torque_zenodo,PMSM geometrical parameters and torque signals,https://zenodo.org/records/15688397,геометрия PMSM и сигналы момента,GPLv3+,прямая загрузка Zenodo,около 15.6 МБ по данным карточки источника,табличные и сигналовые файлы,2,резерв для регрессии момента,средний,лицензия GPLv3+ требует осторожности при производных материалах
